ID,College,Ranking
0,Miami Dade College,2
1,Valencia College,4
2,Broward College,5
3,Florida State College At Jacksonville,6
4,Palm Beach State College,11
5,St. Petersburg College,13
6,Hillsborough Community College,15
7,Tallahassee Community College,21
8,Eastern Florida State College,23
9,Santa Fe College,29
10,Seminole State College Of Florida,33
11,Daytona State College,35
12,Indian River State College,38
13,Edison State College,42
14,Pensacola State College,81
15,Pasco-Hernando Community College,89
16,"State College Of Florida, Manatee-Sarasota",90